home_team,away_team,Year,rank_diff,points_diff,home_win_rate,away_win_rate,home_recent_win_rate,away_recent_win_rate,h2h_home_wins,h2h_draws,h2h_away_wins,stage,home_appearances,away_appearances,home_champion_count,away_champion_count,home_final_appearances,away_final_appearances,target
England,Austria,1958,-29.0,235.51999999999998,0.25,0.5454545454545454,0.25,0.5714285714285714,0,0,0,1,3,3,0,0,0,0,1
Brazil,Russia,1958,-32.0,345.19000000000005,0.5263157894736842,0.5,0.5454545454545454,0.5,0,0,0,1,6,1,0,0,1,0,0
Hungary,Mexico,1958,23.0,-152.69000000000005,0.6153846153846154,0.0,0.5714285714285714,0.0,0,0,0,1,4,4,0,0,2,0,0
France,Scotland,1958,-36.0,280.25,0.4,0.0,0.5,0.0,0,0,0,1,5,2,0,0,0,0,0
Northern Ireland,Czechia,1958,24.0,-95.66000000000008,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.2,1,0,0,1,1,4,0,0,0,1,0
Wales,Hungary,1958,-17.0,77.61999999999989,0.0,0.6428571428571429,0.0,0.625,0,1,0,1,1,4,0,0,0,2,0
Russia,England,1958,28.0,-232.36000000000013,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222,0,1,0,1,1,3,0,0,0,0,0
France,Northern Ireland,1958,-55.0,363.23,0.45454545454545453,0.5,0.6,0.5,0,0,0,3,5,1,0,0,0,0,0
Germany,Serbia,1958,-10.0,86.59000000000015,0.6,0.5,0.6666666666666666,0.4444444444444444,1,0,0,3,4,4,1,0,1,0,0
Brazil,Wales,1958,-18.0,271.48,0.55,0.25,0.5833333333333334,0.25,0,0,0,3,6,1,0,0,1,0,0
Sweden,Russia,1958,-8.0,57.22000000000003,0.46153846153846156,0.5,0.5,0.5,0,0,0,3,4,1,0,0,0,0,0
Sweden,Germany,1958,14.0,-96.88000000000011,0.5,0.625,0.5555555555555556,0.7,0,0,1,4,4,4,0,1,0,1,0
Brazil,France,1958,-3.0,81.51999999999998,0.5714285714285714,0.5,0.6153846153846154,0.6666666666666666,0,0,0,4,6,5,0,0,1,0,0
France,Germany,1958,-7.0,109.56999999999994,0.46153846153846156,0.5882352941176471,0.5714285714285714,0.6363636363636364,0,0,0,5,5,4,0,1,0,1,0
Brazil,Sweden,1958,-24.0,287.97,0.5909090909090909,0.5333333333333333,0.6428571428571429,0.6,2,0,0,5,6,4,0,0,1,0,0
Chile,Switzerland,1962,14.0,-126.31000000000017,0.5,0.4166666666666667,0.3333333333333333,0.42857142857142855,0,0,0,1,2,4,0,0,0,0,0
Uruguay,Colombia,1962,-3.0,27.670000000000073,0.7692307692307693,0.0,0.6666666666666666,0.0,0,0,0,1,3,0,2,0,2,0,0
Brazil,Mexico,1962,-12.0,196.40999999999985,0.6086956521739131,0.0,0.6666666666666666,0.0,2,0,0,1,6,4,1,0,2,0,0
Argentina,Bulgaria,1962,-69.0,438.5200000000002,0.5555555555555556,0.0,0.3333333333333333,0.0,0,0,0,1,3,0,0,0,1,0,0
